foodnames,imgs,lat,lon,picture_existence,north,west,side,main,east,tech
"볶음짜장 2인 (황금성) / 10,000원",https://mblogthumb-phinf.pstatic.net/MjAxODAzMjdfMjEw/MDAxNTIyMTA4MDQ5MTY0.dywtFICTJU4tDDqSZGU2grUz3P4CFvWTXc-fIG_S1rMg.1VkOIhhNggtk2ccrULFKWjA4RljohJP25HBRL7qypkQg.JPEG.momo-66/20180326_192905.jpg?type=w800,35.8920088,128.6154324,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"짬뽕 (황금성) / 4,000원",https://mblogthumb-phinf.pstatic.net/MjAxODAzMjdfMjE3/MDAxNTIyMTA4MDQ2NTM2.5Wpgf4mjc-ukSDo2AG3cl6bcQ7Op-3gMkaiqik1_xlkg.zC3G4Flq803zp1q7FIyRdLW9Z6owUOWqXA4XdCO3PCYg.JPEG.momo-66/20180326_192832.jpg?type=w800,35.8920088,128.6154324,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"깐풍육 미니 (황금성) / 9,000원",https://mblogthumb-phinf.pstatic.net/MjAxODAzMjdfMTk2/MDAxNTIyMTA4MDUxNDE3.9mODDLHvkvMSV9ZqagTxFMB8cE5KEsWRy6Okp-z6Seog.MysxujgWI5ir2EU3v4pvdJeY6v9N5MZXuGNHeQ-ZkVog.JPEG.momo-66/20180326_193124.jpg?type=w800,35.8920088,128.6154324,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"고추장불고기 2인 (선희네밥상) / 10,000원",https://mblogthumb-phinf.pstatic.net/20140314_189/knu_math_1394732846190HEbYM_JPEG/DSC08657.jpg?type=w800,35.8920599,128.6153254,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"불고기백반 (찬누리식당) / 5,500원",https://mblogthumb-phinf.pstatic.net/MjAxODAzMjFfMTYx/MDAxNTIxNjIwMzQwNDUw.7kxpbUfubM6KdZniyUg_8RLtmXqt3BQRu7OgrtZRGDUg.wq_F_83qG0MvJ8e9tU_v8lrFb9GBXINuY0Fh9llpVhcg.JPEG.82gaboza/%25EC%25B0%25AC%25EB%2588%2584%25EB%25A6%25AC6.jpg?type=w800,35.8922699,128.6151343,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"해장국 (또바기감자탕) / 7,000원",https://t1.daumcdn.net/cfile/tistory/2155B2485427B0E017,35.895955,128.6134502,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"꼬탕+공기밥 (왕추찜닭) / 6,000원",https://mblogthumb-phinf.pstatic.net/MjAxOTA5MTBfNTQg/MDAxNTY4MTEwNTI1NTQ1.leNNmPIoDKMcI7bACiMhjKJN2VYOQiF-scStbikDJTgg.m-g9L5ihC7M7STj6-vJQnTRCV163KK1TZKGxl3dhwzgg.JPEG.lee603/20190118_124617.jpg?type=w800,35.8880607,128.603247,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"생연어 덮밥 (소를 품은 연어) / 9,500원",https://pbs.twimg.com/media/Duc6bM3UYAAePpo?format=jpg&name=large,35.8937354,128.6086069,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"김치가츠나베 (도쿄엔) / 7,500원",https://mblogthumb-phinf.pstatic.net/MjAxODEwMDFfOSAg/MDAxNTM4MzcyNzIzOTM2.T2OykjKYioggtbZ_4ZgZbFLZDRTyXQ49eO2aPmL8NnIg.KMwJPetmfZGvn5swUZkbgSLTPWU9QtN0UTsZiklWW14g.JPEG.anyoue67/20181001_131357.jpg?type=w800,35.8939893,128.6098927,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"제육볶음 (찬누리식당) / 5,500원",https://mblogthumb-phinf.pstatic.net/MjAxODA5MDFfMjM5/MDAxNTM1Nzg1OTU3MDc0.3TnaoJ5Fyjh2BXaeyHaTy6-Ght__yogImZvpcjURhvEg.lOWBdB0_MsH_zhkXR9m-BRkp5P4NcH8vU84uYlFLlaUg.JPEG.pizza_bot/LRG_DSC00801.jpg?type=w800,35.8922699,128.6151343,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
